coffee name,coffee rating,roaster name,roaster city,coffee origin country,coffee origin city,roast level,price,aroma,acidity,body,flavor,aftertaste,species (variety),price per kg USD,roaster country
Ethiopia Keramo Village,94,Theory Coffee Roasters,Redding,Ethiopia,Sidamo growing region,Medium-Light,30.0,9,9,9,9,8,,100.0,United States of America
Ethiopia Uraga Washed G1,94,RamsHead Coffee Roasters,Bozeman,Ethiopia,Guji Zone;Oromia Region,Medium-Light,17.95,9,9,9,9,8,,52.76463152943943,United States of America
Kenya Karindudu AA,95,Big Shoulders Coffee,Chicago,Kenya,Nyeri growing region,Medium-Light,22.0,9,9,9,9,9,Batian,64.66974337870015,United States of America
Colombia Cardona Natural,94,Nostalgia Coffee Roasters,San Diego,Colombia,Santa Barbara;Antioquia Department,Light,25.0,9,9,9,9,8,Castillo,73.48834474852288,United States of America
Ethiopia Guji Anaerobic,94,Big Shoulders Coffee,Chicago,Ethiopia,Guji Zone;Oromia Region,Medium-Light,25.0,9,9,9,9,8,Wush Wush,73.48834474852288,United States of America
Maypop,94,Lina Premium Coffee,Bogota,Colombia,Risaralda,Medium-Light,24.99,9,9,9,9,8,Castillo,73.45894941062348,Colombia
La Soledad Colombia,94,JBC Coffee Roasters,Madison,Colombia,Urrao;Antioquia Department,Medium-Light,18.0,9,9,9,9,8,Caturra,79.36507936507937,United States of America
Colombia Huila Acevedo El Paraiso,94,Big Shoulders Coffee,Chicago,Colombia,Huila Department,Medium-Light,25.0,9,9,9,9,8,Bourbon,73.48834474852288,United States of America
Love of Desolate,96,Desolate Cafe,Nantou,Costa Rica,Los Angeles;Sabanilla de Alajuela,Medium-Light,16.5,9,9,9,10,9,Caturra,72.68722466960352,Taiwan
Blend No.7 Berrichee,95,Quartet Kaffe,Taipei,Ethiopia;Colombia;Panama;Mexico,,Medium-Light,13.86,9,9,9,9,9,,69.3,Taiwan
Ethiopia Niguse Gemeda Mude Natural,94,Desolate Cafe,Nantou,Ethiopia,Hayisa Village;Bure Woreda;Sidama Zone,Medium-Light,29.7,9,9,9,9,8,Landrace,130.83700440528634,Taiwan
La Estrella Carbonic Geisha Reserve,95,Corvus Coffee Roasters,Denver,Colombia,Tolima Department,Medium-Light,30.0,9,9,9,9,9,Geisha,200.0,United States of America
Ethiopia Guji Wush Wush Anaerobic Natural,95,Coffee Please,Taipei,Ethiopia,Guji Zone;Oromia Region,Medium-Light,18.48,9,9,9,9,9,Wush Wush,81.40969162995596,Taiwan
Ethiopia Guji Wush Wush,95,Paradise Roasters,Minneapolis,Ethiopia,Guji Zone;Oromia Region,Medium-Light,24.95,9,9,9,9,9,Wush Wush;Robusta,73.34136805902584,United States of America
Tres Dragones Colombia,94,Bird Rock Coffee Roasters,San Diego,Colombia,Caicedonia;Valle de Cauca Department,Medium-Light,25.0,9,9,9,9,8,,73.48834474852288,United States of America
Panama Elida Estate Catuaí Natural ASD,94,Willoughby's Coffee & Tea,Branford,Panama,Boquete growing region,Medium-Light,32.99,9,9,9,9,8,,72.7308803104125,United States of America
Ethiopia Yirgacheffe Israel Degfa Natural Gr.1,94,CofFeeling,Kaohsiung,Ethiopia,Yirgachefffe growing region,Medium-Light,14.85,9,9,9,8,9,Heirloom,65.41850220264317,Taiwan
Panama Elida Estate Washed,96,modcup coffee,Jersey City,Panama,Boquete growing region,Medium-Light,60.0,9,9,9,10,9,Geisha,400.0,United States of America
Bourbon Barrel Aged Ethiopia Cold Brew,94,Regent Coffee,Glendale,Ethiopia,Yirgacheffe growing region,,11.0,9,8,9,9,9,Bourbon,29.333333333333332,United States of America
Kona Maragogype Natural,94,Paradise Roasters,Minneapolis,Hawaii,Kainaliu;Kona,Medium-Light,29.95,9,9,9,9,8,Maragogipe;Robusta,264.10934744268076,United States of America
Kenya Washed Nakuru Gachombe Factory AB,95,Kakalove Cafe,Chia-Yi,Kenya,Nakuru County,Medium-Light,6.93,9,9,9,9,9,,30.55555555555555,Taiwan
Ethiopia Natural Guji Hambella Wate Peaberry,95,Kakalove Cafe,Chia-Yi,Ethiopia,Guji Zone;Oromia Region,Light,12.38,9,9,9,9,9,Landrace,54.58553791887125,Taiwan
Ethiopia Guji Shakiso Dambi Udo Natural Anaerobic,94,Coffee Please,Taipei,Ethiopia,Guji Zone,Medium-Light,11.88,9,9,9,9,8,Landrace,52.800000000000004,Taiwan
Ethiopia Natural Guji,94,Kakalove Cafe,Chia-Yi,Ethiopia,Guji Zone;Oromia region,Medium-Light,6.93,9,9,9,8,9,Landrace,30.55555555555555,Taiwan
Costa Rica Yellow Honey Kinka Bear Lot 20-02,94,Kakalove Cafe,Chia-Yi,Costa Rica,,Medium-Light,8.25,9,9,9,8,9,,36.37566137566137,Taiwan
Ethiopia Guji Shakiso Dambi Udo Honey,94,Coffee Please,Taipei,Ethiopia,Guji Zone,Light,11.55,9,9,9,9,8,Landrace,51.333333333333336,Taiwan
Kenya Washed Nyeri Gichathaini Factory AB,94,Kakalove Cafe,Chia-Yi,Kenya,yeri growing region,Medium-Light,12.87,9,9,9,9,8,,56.74603174603174,Taiwan
Colombia Pink Bourbon Honey,95,Bird Rock Coffee Roasters,San Diego,Colombia,Huila Department,Medium-Light,29.0,9,9,9,9,9,Bourbon,85.24647990828655,United States of America
Kona SL34 Sweet Spot,94,Kona Farm Direct,Holualoa,Hawaii,Kona growing region,Medium-Light,49.95,9,9,9,9,8,SL34,251.70068027210885,United States of America
Haraaz Red,95,JBC Coffee Roasters,Madison,Yemen,Haraaz growing region,Medium-Light,17.5,9,9,9,9,9,Heirloom,77.1604938271605,United States of America
Panama Elida Green-Tip Geisha La Torre ASD,95,Willoughby's Coffee & Tea,Branford,Panama,Boquete growing region,Light,120.0,9,9,9,9,9,Geisha,264.55609691571686,United States of America
