Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chile,115.640,133.958,203.930,187.155,153.727,200.126,248.225,224.612,198.310,176.617,244.936,275.845,239.110,256.711,257.285,266.522,267.649,285.997,315.352,232.220,384.198,305.492,263.833,320.011,346.784,348.154,351.855,376.446,392.187,471.279
Suriname,1.937,7.002,2.928,3.708,3.459,8.055,7.690,10.143,11.177,6.652,12.133,10.817,8.908,9.840,17.312,13.500,14.329,14.432,17.048,16.654,16.205,15.900,15.462,18.593,18.423,16.166,15.436,9.703,13.538,9.715
Uruguay,42.261,30.191,45.544,32.313,39.978,38.922,42.059,41.978,47.829,45.090,42.712,57.077,41.326,47.849,50.624,53.216,48.432,58.452,54.853,55.819,61.693,63.086,59.816,59.983,59.113,59.956,55.148,56.313,56.841,56.628
Austria,"1,879.717","2,058.271","2,206.416","1,836.489","1,417.214","1,231.436","1,210.466","1,294.203","1,293.354","1,499.777","1,257.233","1,432.414","1,447.207","1,336.060","1,538.156","1,576.579","1,600.652","1,968.113","1,901.067","1,309.234","1,369.200","1,452.493","1,558.609","1,554.927","1,525.081","1,513.390","1,494.939","1,459.912","1,429.407","1,447.514"
Belgium,,,,,,,,,,"3,003.006","3,490.616","3,208.627","3,792.173","3,817.614","3,968.305","4,063.225","4,604.684","4,013.653","6,792.087","5,915.501","5,923.730","5,828.442","5,668.232","5,502.144","5,211.749","5,533.514","6,052.170","5,677.379","5,742.253","6,198.897"
Bulgaria,268.183,200.220,182.231,397.443,462.668,515.418,272.160,294.154,342.122,366.919,280.727,354.905,343.432,400.361,366.849,440.514,434.552,393.361,517.206,522.996,528.372,481.510,559.825,609.487,620.709,681.757,779.160,706.883,737.244,784.897
Croatia,,,168.190,162.774,193.450,320.132,321.836,385.297,339.051,352.083,344.382,352.089,370.915,392.574,388.392,391.600,404.122,413.765,405.326,394.049,393.825,390.874,384.490,412.849,419.674,437.201,478.667,439.074,445.514,466.418
Cyprus,49.854,53.926,40.876,77.412,51.836,43.769,51.502,41.341,49.779,55.459,68.538,59.046,56.629,58.798,59.354,80.098,73.804,71.422,77.514,71.740,76.728,82.079,83.877,93.766,94.388,89.305,93.153,99.934,133.180,133.225
Czech Republic,659.433,525.274,474.731,514.277,553.797,553.197,525.298,560.225,764.839,727.677,808.942,899.253,887.880,974.066,928.875,"1,063.414",940.478,"1,037.079","1,037.327",930.026,950.722,952.367,"1,126.623","1,183.882","1,822.691","2,067.839","1,779.351","1,506.967","1,903.159","1,608.921"
Denmark,959.105,982.757,"1,061.623",993.947,"1,033.184",877.159,"1,005.999",949.071,"1,013.723","1,093.779","1,021.798","1,102.964","1,075.800","1,001.582","1,119.450",993.360,"1,004.163",995.198,900.365,859.847,"1,014.641",908.870,913.099,921.179,853.424,840.778,905.790,852.193,867.951,907.935
Estonia,,,16.378,51.148,83.098,107.478,116.918,141.115,134.659,130.913,105.305,160.889,119.703,133.806,175.733,221.136,254.424,277.107,334.383,357.273,262.870,166.856,157.235,156.214,130.854,126.201,134.803,133.148,147.138,147.849
Finland,"1,095.141","1,033.067","1,055.361","1,301.456","1,361.003",769.499,992.274,"1,185.521","1,167.935","1,209.485","1,063.111","1,084.063","1,075.335","1,104.797","1,151.983","1,156.441","1,167.979","1,207.029","1,284.795","1,243.264","1,273.743","1,286.515","1,237.833","1,275.468","1,213.055","1,320.802","1,388.966","1,360.024","1,284.823","1,515.474"
France,"6,301.221","6,552.709","6,612.056","6,334.468","6,368.662","6,213.680","6,659.513","6,703.985","6,576.023","6,675.666","6,520.009","6,752.744","6,925.100","6,651.824","5,940.129","5,714.009","6,190.532","6,420.270","6,251.739","6,669.728","6,717.242","6,991.820","6,841.136","6,713.105","7,112.306","6,808.567","6,737.783","6,966.515","7,624.019","7,992.905"
Germany,"13,670.946","13,228.851","13,788.554","14,107.003","13,583.215","12,851.835","13,507.129","13,905.185","13,739.568","14,320.027","13,894.540","14,753.266","15,515.537","15,727.003","17,356.071","16,716.049","18,542.843","19,564.053","19,876.237","19,415.665","20,602.956","20,926.405","21,816.212","21,174.307","22,077.694","21,316.212","22,368.391","21,764.784","22,147.181","22,431.905"
Greece,641.963,407.027,348.923,374.593,502.128,522.595,765.507,788.621,704.456,732.962,798.386,867.643,897.497,997.974,941.795,930.593,897.127,"1,080.887","1,056.036","1,046.018","1,061.328","1,154.526","1,243.663","1,269.094","1,233.605","1,209.965","1,583.738",867.119,"1,160.024","1,246.274"
Hungary,573.974,640.987,522.248,668.056,771.222,519.505,602.906,674.960,715.594,762.065,790.207,833.221,827.507,863.770,977.418,851.723,900.548,893.589,810.767,703.938,726.890,639.624,747.928,557.397,833.449,714.209,725.438,721.561,779.213,772.970
Ireland,129.477,118.267,94.568,110.542,130.540,114.607,98.158,106.284,101.978,142.033,154.688,180.151,176.602,226.723,263.645,251.280,252.244,266.461,127.423,142.014,164.737,210.443,252.005,232.745,291.860,356.571,402.630,426.916,439.614,438.280
Italy,"5,241.831","4,630.023","4,594.727","5,593.705","5,553.766","5,387.861","5,607.987","5,742.632","5,889.394","5,943.088","6,314.875","6,541.731","6,523.415","6,929.190","7,031.931","7,268.613","7,547.526","8,028.463","8,172.104","8,078.169","8,235.962","8,355.343","8,690.870","8,822.545","9,349.822","9,328.193","10,224.189","10,020.273","10,639.355","10,913.757"
Latvia,,,20.259,59.774,22.556,29.522,65.752,143.644,158.955,183.109,181.052,156.220,163.882,185.920,187.770,191.085,220.515,150.635,154.249,131.978,137.665,141.281,156.986,161.289,213.388,201.593,231.291,228.920,242.743,234.941
Lithuania,,,1.863,9.100,46.727,112.948,149.561,187.114,185.150,206.273,212.662,267.089,262.882,220.659,256.385,283.767,316.648,335.547,390.498,410.935,376.054,288.875,336.676,362.186,396.478,427.757,499.270,432.452,441.466,473.631
Luxembourg,,,,,,,,,,145.045,231.770,209.706,252.710,288.763,315.802,330.795,335.534,359.567,351.413,329.951,348.875,325.529,322.753,378.173,413.043,376.226,394.329,379.929,433.324,402.267
Malta,20.714,16.074,17.858,22.613,13.212,22.647,9.232,9.459,10.104,8.904,9.202,9.398,9.564,10.662,15.603,16.302,28.874,15.917,23.019,14.218,12.177,16.957,21.299,21.897,24.634,16.313,18.532,16.754,19.378,23.371
Netherlands,"3,128.150","3,120.774","3,204.952","2,803.729","2,799.881","2,910.366","3,083.957","2,923.773","2,862.048","2,565.504","2,965.801","2,793.684","2,760.002","3,175.539","3,159.027","2,988.015","3,292.805","3,531.019","2,304.443","2,502.133","2,582.661","2,678.334","2,729.761","3,406.795","4,016.022","4,176.236","4,781.450","5,067.741","5,520.438","5,354.023"
Poland,435.065,249.871,"1,787.057","1,670.498","1,842.641","1,770.709","1,924.074","2,253.082","2,292.961","2,403.635","2,576.377","2,719.394","2,643.496","2,664.345","2,686.816","2,791.504","2,653.660","2,263.670","2,460.345","3,161.537","3,278.914","3,403.819","3,542.746","3,284.383","3,229.208","3,665.612","3,827.169","3,999.319","4,325.062","4,452.457"
Portugal,551.589,557.469,591.174,666.447,663.862,633.168,742.959,727.290,761.587,816.947,811.433,843.381,838.099,833.901,838.341,831.216,861.681,911.297,885.071,886.726,"1,010.442","1,057.734","1,075.842","1,062.682","1,059.749","1,043.857","1,128.481","1,093.955","1,140.203","1,219.765"
Romania,441.534,335.450,603.208,425.350,347.447,551.343,696.558,630.977,595.302,511.423,551.557,633.172,738.258,755.340,828.316,874.363,854.259,839.755,826.103,811.462,838.855,844.185,902.873,971.477,958.483,"1,011.643","1,133.699","1,154.573","1,174.143","1,165.061"
Slovakia,0.000,0.000,0.000,288.477,256.693,250.087,260.546,252.885,258.930,268.976,285.965,317.005,300.009,302.836,298.005,307.624,347.173,508.265,610.576,458.397,654.848,777.215,771.630,798.425,918.893,910.385,906.183,723.050,889.517,773.500
Slovenia,0.000,0.000,122.875,152.218,159.139,147.619,174.634,170.647,174.303,181.525,186.773,194.183,200.809,177.061,196.182,190.882,186.660,204.555,205.057,210.241,217.586,222.989,220.895,257.915,268.925,271.786,322.870,401.439,549.660,619.500
Spain,"3,053.251","2,969.543","3,414.290","2,813.088","3,028.425","3,145.866","3,515.278","3,776.561","3,717.654","3,986.024","3,768.202","4,057.629","4,026.116","4,135.617","4,173.474","4,356.082","4,538.360","4,874.749","4,863.768","4,811.284","5,034.403","4,820.908","5,094.020","5,136.943","5,405.558","5,428.565","5,660.147","5,414.229","5,673.001","5,983.511"
Sweden,"1,766.674","1,717.087","1,771.725","1,756.601","1,893.292","1,420.442","1,522.379","1,472.842","1,439.637","1,455.677","1,344.168","1,432.180","1,463.309","1,434.927","1,495.227","1,693.003","1,820.482","1,769.668","1,804.126","1,658.654","1,726.680","1,646.726","1,679.735","1,709.389","2,198.463","2,120.551","2,349.869","2,306.332","2,262.214","2,347.797"
Japan,"5,329.750","5,510.469","5,325.616","5,691.120","6,217.151","5,489.087","5,994.113","5,921.415","6,026.965","6,547.485","6,908.009","6,996.198","7,307.457","6,922.573","7,253.915","7,407.834","7,631.552","7,086.224","7,060.032","7,089.702","7,407.080","7,543.856","7,024.860","8,381.263","7,656.983","8,063.398","8,026.154","7,646.637","7,539.982","8,039.678"
Norway,742.040,761.215,739.145,692.829,805.628,662.098,719.892,683.888,706.877,789.978,662.238,716.247,697.974,690.679,716.107,753.059,731.109,779.893,721.887,724.407,759.353,794.917,735.443,781.484,743.175,799.740,799.148,800.857,743.340,785.890
Russia,0.000,0.000,"1,381.858","1,794.946","1,725.730","1,728.144","1,127.972","2,185.288","1,731.918","1,368.077","1,890.453","3,056.870","3,504.015","3,772.288","3,205.391","3,335.803","3,465.140","4,317.899","4,053.190","3,553.161","4,155.257","4,217.683","4,174.745","4,410.193","4,746.950","4,710.038","5,232.881","5,467.783","5,287.542","5,916.633"
Switzerland,"1,170.508","1,130.292","1,101.251","1,059.878","1,099.406","1,016.829","1,111.627",970.772,"1,111.835","1,138.926","1,171.483","1,254.538","1,216.745","1,321.870","1,236.295","1,641.049","1,502.620","1,823.108","1,977.688","2,101.000","2,317.606","2,497.914","2,477.957","2,666.751","2,643.106","2,747.859","2,816.026","2,903.618","3,086.019","3,228.383"
Tunisia,101.000,90.201,110.583,100.624,137.267,136.783,143.650,164.617,147.417,185.747,192.450,233.000,235.566,123.148,263.911,189.974,209.464,253.418,317.612,288.799,304.090,428.782,438.924,438.967,460.028,458.707,465.553,546.156,532.967,508.332
United Kingdom,"2,898.298","2,805.914","3,088.172","3,196.981","3,465.860","2,806.723","2,903.453","2,929.338","3,142.408","2,907.255","3,012.401","3,061.827","2,971.318","3,002.018","3,328.680","3,433.304","4,045.789","3,780.548","3,967.458","4,130.908","4,301.908","4,183.230","4,126.054","4,206.091","4,318.696","4,895.407","5,052.293","4,989.038","5,687.860","5,554.364"
United States of America,"21,006.786","19,839.630","22,939.033","19,328.721","16,171.245","17,106.857","19,444.533","20,342.746","21,030.401","22,746.432","23,766.839","21,415.141","21,638.914","22,760.196","23,183.954","23,041.516","23,708.762","24,219.282","24,277.004","23,578.065","24,378.013","26,093.395","26,056.163","27,015.540","27,565.498","27,707.664","28,837.838","29,487.886","28,918.207","30,854.073"
