Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Somalia,8.000,0.031,0.271,0.145,0.052,0.280,0.000,0.009,0.000,0.444,0.347,0.130,1.650,0.883,1.143,4.193,1.795,1.407,2.043,0.167,0.106,0.520,1.563,1.878,0.203,1.966,1.159,0.821,1.750,4.385
South Africa,286.497,281.881,337.601,402.932,344.645,324.120,327.954,322.980,351.417,333.899,412.779,337.244,370.389,401.517,436.282,476.812,567.421,464.522,573.662,417.172,592.958,573.280,541.801,545.547,634.775,693.324,644.222,711.673,755.865,782.766
Sudan,55.501,130.302,103.333,69.767,71.967,80.333,106.617,100.347,135.716,160.590,128.510,177.782,223.643,118.649,390.484,399.099,362.650,500.523,579.494,564.588,659.505,572.415,411.831,796.256,689.797,593.886,641.346,305.275,704.927,753.248
Afghanistan,0.250,0.250,0.250,0.250,0.250,0.250,0.867,2.900,1.000,1.500,2.933,3.430,0.965,4.247,1.127,2.590,2.010,3.397,9.680,5.706,9.665,1.040,4.637,3.033,7.792,11.539,10.681,34.357,38.556,8.158
Armenia,0.000,0.000,2.500,2.500,2.600,30.637,54.214,58.752,104.330,115.942,135.795,181.502,183.440,178.848,210.595,197.626,170.927,187.795,212.077,183.803,201.397,191.488,187.890,206.658,194.101,201.369,206.612,206.515,204.604,229.970
Australia,745.906,788.978,850.732,802.013,843.793,808.093,844.568,898.568,928.574,976.614,921.420,898.344,"1,120.595","1,003.790","1,004.194","1,199.501","1,173.969","1,197.346","1,278.668","1,362.364","1,513.535","1,563.968","1,766.088","1,667.152","1,680.875","1,919.656","1,881.364","2,078.050","2,070.871","2,178.039"
Azerbaijan,0.000,0.000,2.000,2.000,4.371,0.725,1.326,0.759,0.134,1.542,1.150,1.939,1.445,2.178,9.901,19.460,1.626,2.711,3.892,4.062,6.351,8.485,12.494,12.364,10.770,13.326,16.256,19.468,31.494,34.680
Bahrain,7.210,8.257,10.572,7.727,4.765,6.192,5.105,5.004,6.875,5.691,5.860,6.878,5.874,7.403,10.675,12.329,12.704,15.508,12.828,9.154,9.585,12.026,8.623,15.373,31.247,21.757,20.922,27.119,32.863,55.980
Bangladesh,0.038,0.133,0.268,1.323,0.572,4.286,1.279,1.336,9.999,2.745,3.114,10.933,4.125,5.941,6.595,5.112,6.225,9.346,10.931,6.826,6.736,12.482,9.183,9.091,16.047,18.931,23.204,90.899,116.374,54.280
Brunei,8.428,10.133,7.935,10.539,8.660,16.053,20.014,29.028,19.592,12.228,18.158,14.403,21.808,24.261,20.862,21.149,25.776,37.981,30.601,33.574,37.243,45.917,46.650,47.094,45.835,59.184,57.414,44.589,61.957,51.810
Cambodia,0.000,0.000,0.433,0.433,6.800,3.900,1.404,1.203,0.990,2.250,1.461,0.757,0.687,1.331,1.716,3.432,3.397,1.656,2.199,2.029,4.989,47.317,95.152,58.194,24.908,23.592,35.972,98.479,117.741,67.859
China,27.543,46.094,69.049,34.101,15.048,34.026,209.150,29.420,83.874,83.256,94.712,162.235,198.711,242.280,253.977,286.521,357.469,365.703,400.879,419.420,572.524,808.674,"1,087.995",931.529,"1,262.336","1,188.317","1,707.640","2,145.957","1,456.253","1,465.702"
China,131.232,178.468,217.520,183.304,204.291,112.985,146.881,167.251,141.861,150.022,140.779,124.979,104.832,105.990,127.771,120.984,129.619,146.421,172.817,179.812,191.014,223.942,283.319,273.183,249.181,298.073,346.242,402.885,721.182,617.900
China,29.609,24.450,16.406,9.900,9.906,7.042,9.372,8.146,6.334,4.498,3.131,9.774,9.648,11.584,14.793,17.766,18.076,22.383,17.968,18.584,19.969,33.379,25.974,29.542,28.374,31.238,33.324,36.521,48.442,40.305
Cook Islands,0.000,0.059,0.076,0.052,0.009,0.022,0.016,0.007,0.067,0.040,0.034,0.017,0.053,0.054,0.073,0.112,0.148,0.129,0.451,0.051,0.109,0.050,0.050,0.622,0.595,1.186,0.556,2.046,0.789,0.709
North Korea,0.142,0.288,0.234,1.547,0.635,1.761,0.786,0.180,0.426,0.796,24.570,29.467,26.701,7.934,26.551,20.404,9.099,25.811,2.941,4.270,15.632,20.307,7.013,15.327,44.396,46.802,19.789,26.742,40.839,26.683
