Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Uzbekistan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Vanuatu,0.610,0.000,0.860,0.700,0.380,0.610,0.670,1.030,1.860,0.020,0.000,0.070,0.050,0.000,0.000,0.000,0.000,0.000,0.050,0.060,0.060,0.680,0.050,0.040,0.240,0.240,0.060,0.000,0.000,0.000
Anguilla,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Antigua and Barbuda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.010,0.030,0.210,0.030
Aruba,7.270,0.830,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.030,0.240,0.060,0.060,0.000,0.000,0.000,0.000,0.020,0.060,0.030,0.000,0.000,0.010,0.000,0.350,0.770,0.030,0.000
Bahamas,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.010,0.000,0.280,0.280,0.210,0.360,0.000,0.000,0.010,0.000,0.000,0.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Barbados,0.000,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.020,0.050,0.010,0.010,0.020,0.070,0.070,0.000,0.000,0.000,0.030,0.040,0.000,0.030,0.020,0.050
Dominica,0.010,0.040,0.070,0.060,0.060,0.060,0.030,0.030,0.010,0.020,0.010,0.010,0.060,0.050,0.000,0.000,0.000,0.010,0.000,0.010,0.010,0.010,0.010,0.010,0.010,0.290,0.160,0.000,0.000,0.000
Grenada,0.160,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.020,0.020,0.010,0.030,0.160,0.000,0.000,0.000
Netherlands Antilles,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.600,0.600,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.030,0.020,0.060,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Puerto Rico,5.270,6.250,6.820,3.460,2.730,1.910,6.520,5.160,3.860,2.540,3.250,6.520,1.740,3.740,8.440,6.450,4.130,4.620,6.660,3.500,4.180,3.190,3.150,6.990,6.580,5.310,2.770,0.170,0.640,1.960
Saint Kitts and Nevis,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.030,0.060,0.050,0.050,2.340,0.000,0.000
Saint Lucia,0.000,0.050,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.010,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.100,0.000,0.000
Saint Vincent & the Grenadines,0.010,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000
Belize,0.050,0.030,0.030,0.020,0.000,0.000,0.000,0.000,0.030,0.070,0.040,0.030,0.060,0.000,0.000,0.000,0.000,0.030,0.000,0.000,0.350,0.010,0.000,0.180,1.920,3.440,2.180,0.000,0.010,0.010
Bermuda,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Albania,0.000,0.000,0.000,1.320,1.980,2.000,2.000,0.040,2.990,0.690,0.760,1.730,5.340,3.480,7.040,11.450,7.500,7.700,6.890,3.660,1.590,0.590,0.630,3.680,0.380,0.370,0.650,1.780,0.260,2.410
Belarus,0.000,0.000,0.000,0.000,0.000,0.010,1.030,1.470,0.400,6.160,8.890,2.480,1.800,7.840,3.250,2.590,10.450,6.390,3.830,2.580,1.350,5.290,9.320,7.580,6.960,9.830,18.410,39.750,57.110,0.000
Bosnia and Herzegovina,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.450,1.810,1.750,4.120,8.300,6.450,8.900,11.330,12.700,17.130,18.080,19.620,16.140,14.470,22.100,19.410,24.640,23.150,20.570,21.750,25.200
Georgia,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.190,1.400,0.390,0.010,0.010,1.670,2.900,0.130,0.790,0.000,0.020,0.000,0.000,0.820,0.850,2.630,3.160,7.310,0.870,2.910,1.550,0.000
Gibraltar,0.000,0.000,0.000,0.000,0.050,0.090,0.020,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Iceland,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.050,0.000,0.000,0.000,0.000,0.000,0.070,0.020,0.030,0.040,0.040,0.030,0.210,0.140,0.190,0.120,0.030,0.020
Montenegro,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.080,0.170,0.280,0.270,0.200,3.260,4.450,2.990,2.380,2.560,2.410,1.790,0.030,0.000
The former Yugoslav Republic of Macedonia,0.000,0.000,8.570,1.840,0.030,0.020,0.000,0.310,0.070,0.490,0.510,0.630,0.780,1.570,0.930,1.230,1.210,1.800,2.660,1.820,1.770,3.410,4.610,5.200,4.990,4.900,8.300,5.970,7.170,0.000
Moldova,0.000,0.000,0.160,0.120,0.360,1.450,5.590,1.440,0.000,0.000,0.060,0.000,0.000,0.000,0.070,0.080,0.030,0.010,0.000,0.080,0.290,0.390,0.490,1.170,0.210,1.370,0.220,0.240,0.380,0.600
Republic of Serbia,0.000,0.000,4.320,0.000,0.000,0.000,0.930,0.300,7.290,0.110,0.040,1.830,16.470,17.240,8.650,2.480,5.420,5.570,10.100,6.720,7.600,8.850,16.930,16.840,46.520,57.160,62.700,59.130,16.640,21.340
Ukraine,0.000,0.000,5.000,5.000,29.010,5.980,10.400,3.640,9.490,13.070,5.480,4.330,2.890,3.450,4.790,8.000,20.780,27.850,96.290,80.820,103.040,47.630,55.510,64.740,75.660,85.700,41.780,34.230,39.450,51.790
Canada,279.400,288.100,355.200,372.360,420.010,401.140,472.870,635.370,"1,093.380","1,012.650",943.720,842.180,897.330,838.620,762.130,794.260,742.970,657.180,595.260,623.330,779.710,967.890,945.130,"1,005.600","1,078.890","1,171.700","1,250.660","1,261.400","1,287.940","1,336.350"
Argentina,14.810,3.020,1.110,2.940,1.250,68.000,125.230,128.600,2.880,7.940,6.160,4.790,6.570,5.310,5.170,6.200,11.360,5.680,5.370,3.880,5.190,5.300,4.250,4.030,3.820,4.240,4.340,5.230,1.130,3.400
Chile,4.560,6.150,11.860,40.500,61.190,62.900,112.840,83.940,71.670,21.230,27.420,61.790,69.080,62.890,52.360,74.860,61.080,57.990,70.480,51.160,65.500,52.580,17.810,46.830,53.100,55.620,30.340,22.530,19.810,18.940
Suriname,0.000,0.000,0.000,1.380,0.040,0.000,0.210,0.220,0.200,0.200,0.210,0.200,1.100,4.210,5.260,8.210,11.360,7.880,6.340,6.000,3.030,3.970,1.130,0.020,0.710,0.830,0.310,1.330,0.060,0.640
Uruguay,0.240,0.210,0.160,0.010,0.000,0.000,0.020,0.010,0.570,0.260,0.360,0.530,0.000,0.110,0.100,0.090,0.020,0.000,0.010,0.010,0.030,0.000,0.840,0.470,0.010,0.060,0.000,0.070,0.790,1.040
